iter	Passed	Remaining
0	1	132
1	2	131
2	3	122
3	4	109
4	5	109
5	6	106
6	7	106
7	9	104
8	10	102
9	11	99
10	12	98
11	13	97
12	14	95
13	15	94
14	16	93
15	17	92
16	18	91
17	19	90
18	21	89
19	22	88
20	23	87
21	24	86
22	25	84
23	26	83
24	27	82
25	28	81
26	29	79
27	30	78
28	31	77
29	32	76
30	33	75
31	35	74
32	36	73
33	37	72
34	38	70
35	39	69
36	40	68
37	41	67
38	42	66
39	43	65
40	44	64
41	45	62
42	46	61
43	47	60
44	48	59
45	49	58
46	50	57
47	51	56
48	52	54
49	53	53
50	54	52
51	56	51
52	57	50
53	58	49
54	59	48
55	60	47
56	62	46
57	63	45
58	64	45
59	66	44
60	67	43
61	68	42
62	70	41
63	71	40
64	72	39
65	73	38
66	75	37
67	77	36
68	78	35
69	80	34
70	81	33
71	82	32
72	84	31
73	85	30
74	86	28
75	88	27
76	89	26
77	90	25
78	93	24
79	94	23
80	95	22
81	96	21
82	98	20
83	99	18
84	100	17
85	101	16
86	102	15
87	103	14
88	104	12
89	105	11
90	107	10
91	108	9
92	109	8
93	110	7
94	111	5
95	112	4
96	113	3
97	114	2
98	115	1
99	116	0
